Date,Product,Production,Sold,Revenue
2023-01-01,Alpha Widget,394,329,49328.71
2023-01-01,Beta Gadget,439,395,111113.41
2023-01-01,Camera,495,459,384107.5
2023-01-01,Delta Device,435,339,68889.0
2023-01-01,Epsilon Engine,257,220,325534.13
2023-01-01,Gamma Gizmo,550,506,49649.24
2023-01-01,Omega Orb,238,209,81530.58
2023-01-01,Theta Tool,247,179,22134.02
2023-01-01,Zeta Zone,534,426,259323.22
2023-01-02,Alpha Widget,367,319,48787.67
2023-01-02,Beta Gadget,354,333,88286.33
2023-01-02,Camera,216,172,147258.17
2023-01-02,Delta Device,335,262,49628.63
2023-01-02,Epsilon Engine,284,259,365614.19
2023-01-02,Gamma Gizmo,328,312,28393.46
2023-01-02,Omega Orb,290,280,110729.72
2023-01-02,Theta Tool,335,318,38761.27
2023-01-02,Zeta Zone,199,139,83473.04
2023-01-03,Alpha Widget,263,235,35148.32
2023-01-03,Beta Gadget,332,256,69446.44
2023-01-03,Camera,494,446,365739.33
2023-01-03,Delta Device,361,304,59376.36
2023-01-03,Epsilon Engine,278,229,319850.7
2023-01-03,Gamma Gizmo,344,248,24342.67
2023-01-03,Omega Orb,476,338,144471.39
2023-01-03,Theta Tool,387,360,43833.19
2023-01-03,Zeta Zone,267,249,150171.75
2023-01-04,Alpha Widget,339,305,44160.41
2023-01-04,Beta Gadget,458,326,85543.21
2023-01-04,Camera,291,243,202944.27
2023-01-04,Delta Device,262,218,42613.47
2023-01-04,Epsilon Engine,190,149,222547.16
2023-01-04,Gamma Gizmo,303,274,26289.65
2023-01-04,Omega Orb,397,333,137904.31
2023-01-04,Theta Tool,375,324,38731.24
2023-01-04,Zeta Zone,287,216,125720.84
2023-01-05,Alpha Widget,265,196,28560.0
2023-01-05,Beta Gadget,196,149,42857.84
2023-01-05,Camera,308,224,174794.27
2023-01-05,Delta Device,225,189,36497.92
2023-01-05,Epsilon Engine,296,208,290988.73
2023-01-05,Gamma Gizmo,408,344,34226.77
