iter	RMSE
0	0.5471907254
1	0.5436139953
2	0.5414755437
3	0.5386609751
4	0.5349976058
5	0.5313950256
6	0.5283667294
7	0.5248576125
8	0.5222451395
9	0.517780311
10	0.5151870045
11	0.5124051804
12	0.5094635629
13	0.5067635021
14	0.5040555305
15	0.5009930454
16	0.4974031005
17	0.4944580889
18	0.4920970494
19	0.4883818379
20	0.4862912035
21	0.4843547706
22	0.482294437
23	0.4799470133
24	0.4757923089
25	0.4734423876
26	0.4711713449
27	0.4691611678
28	0.4672760994
29	0.4650784263
30	0.4625433323
31	0.4605039031
32	0.457693845
33	0.4544732413
34	0.4527851919
35	0.4499370068
36	0.4473592644
37	0.4450754942
38	0.4432716902
39	0.4404207573
40	0.4374766931
41	0.4357170621
42	0.4334187927
43	0.4312941821
44	0.4300616858
45	0.428555123
46	0.4261065623
47	0.4249109979
48	0.423144539
49	0.4198735332
50	0.4175404962
51	0.4151814581
52	0.4129992055
53	0.4113645337
54	0.4090118426
55	0.4079232238
56	0.4066053159
57	0.4040979502
58	0.4010503553
59	0.3992831982
60	0.3973627713
61	0.3961464737
62	0.3948498997
63	0.3931116983
64	0.3915939041
65	0.3889666052
66	0.3870157193
67	0.3855782354
68	0.3852076756
69	0.3840759822
70	0.3831611267
71	0.381521241
72	0.3801828235
73	0.3781539464
74	0.376726726
75	0.3755459576
76	0.3741755736
77	0.3733350685
78	0.3716615481
79	0.3694636677
80	0.3682701668
81	0.3660815844
82	0.3651136393
83	0.3637566278
84	0.3623708723
85	0.3609448972
86	0.3598010966
87	0.3582294872
88	0.3570768186
89	0.3561856941
90	0.3546930734
91	0.3523733601
92	0.351082538
93	0.3501133525
94	0.3494186359
95	0.3481153472
96	0.3465410044
97	0.3450276067
98	0.3436353522
99	0.3419953909
100	0.3403065516
101	0.3391531774
102	0.3370680844
103	0.3349280819
104	0.3334475422
105	0.3322778098
106	0.3312840623
107	0.3305787594
108	0.3297703295
109	0.3291409286
110	0.3278080913
111	0.3253045694
112	0.324295969
113	0.3227910303
114	0.3213551575
115	0.3209084906
116	0.3201313375
117	0.3175198862
118	0.3161607566
119	0.3153202709
120	0.313695028
121	0.3124360343
122	0.310049088
123	0.3088500123
124	0.3072489348
125	0.3058387489
126	0.3043184688
127	0.3036171146
128	0.3022717036
129	0.3003565317
130	0.2993058458
131	0.2975594952
132	0.2969348204
133	0.2956424071
134	0.29368232
135	0.2924794954
136	0.2912797961
137	0.2889806835
138	0.2872700656
139	0.2857441449
140	0.2843354631
141	0.2832933751
142	0.2824402439
143	0.2810585942
144	0.2792394716
145	0.2776051211
146	0.2751660784
147	0.2744387488
148	0.2733201044
149	0.2719515531
150	0.2706904108
151	0.2693607181
152	0.2680965897
153	0.2669133228
154	0.2657878672
155	0.2646221274
156	0.2637926993
157	0.2623992702
158	0.2607099138
159	0.2587448293
160	0.2576481085
161	0.2568066508
162	0.2554989196
163	0.2538651477
164	0.253682917
165	0.2528198934
166	0.2510033937
167	0.2493795472
168	0.2483739897
169	0.2473305114
170	0.2457759747
171	0.2446911843
172	0.2436880987
173	0.2429184958
174	0.2423602164
175	0.2410251934
176	0.2402205224
177	0.2390713182
178	0.2371541033
179	0.2358323786
180	0.2348412657
181	0.2336891406
182	0.232586847
183	0.231941093
184	0.2316679086
185	0.2301660805
186	0.2293874335
187	0.2291636694
188	0.2284310772
189	0.2275959599
190	0.2266164472
191	0.2255438723
192	0.2253264797
193	0.2242020697
194	0.2230758181
195	0.2219661703
196	0.2216584982
197	0.2206675776
198	0.2197880773
199	0.2181525481
200	0.2175642252
201	0.2173715428
202	0.2167678372
203	0.215726363
204	0.2148578865
205	0.2140841324
206	0.2127991075
207	0.2119134534
208	0.2117603456
209	0.2108961786
210	0.209483058
211	0.2086376841
212	0.2071879552
213	0.2065594603
214	0.2053883481
215	0.2043718157
216	0.2036520406
217	0.2029095154
218	0.2021593638
219	0.201411427
220	0.2012234914
221	0.2005770253
222	0.19991332
223	0.1992762956
224	0.1982084778
225	0.1971702576
226	0.1969961405
227	0.1968337784
228	0.1962629999
229	0.1949351953
230	0.1932253769
231	0.1926552113
232	0.1919934868
233	0.1911536778
234	0.1903400822
235	0.1899066522
236	0.1892950698
237	0.1885757739
238	0.188146884
239	0.1873027969
240	0.1864343453
241	0.185489391
242	0.1844779797
243	0.1833638118
244	0.1827237459
245	0.181300707
246	0.1803658975
247	0.1801229557
248	0.1789883376
249	0.1783346163
250	0.17721716
251	0.1770896542
252	0.1762125895
253	0.1760357147
254	0.1754516298
255	0.1747559744
256	0.1745530368
257	0.1734178514
258	0.1724875727
259	0.1716712662
260	0.1712936723
261	0.1709386119
262	0.170116515
263	0.1694599572
264	0.1689182659
265	0.1680984933
266	0.1672703293
267	0.1669669191
268	0.1662722645
269	0.1659966012
270	0.1651171426
271	0.1648593836
272	0.1641070156
273	0.1640160844
274	0.1637413723
275	0.1626806989
276	0.1625644167
277	0.1619961075
278	0.1608463245
279	0.1597527205
280	0.1588546272
281	0.1580691969
282	0.1570673953
283	0.1566635618
284	0.1560684167
285	0.1554336264
286	0.1544371643
287	0.1534514159
288	0.1524796021
289	0.1521920786
290	0.1515516267
291	0.1509230238
292	0.1502529365
293	0.1493422768
294	0.1486525683
295	0.1476603546
296	0.1473998386
297	0.1463790617
298	0.1458494644
299	0.1451484511
300	0.1442294006
301	0.1435898121
302	0.1426281302
303	0.1417155707
304	0.1409139445
305	0.1402581722
306	0.139061475
307	0.1385684757
308	0.1376753761
309	0.1374336396
310	0.1365712072
311	0.1364815431
312	0.1359476247
313	0.1353471284
314	0.1346298079
315	0.1342420348
316	0.1334955157
317	0.1332402527
318	0.132746025
319	0.1319037349
320	0.131063189
321	0.1304547658
322	0.1300828197
323	0.1295583285
324	0.129147566
325	0.1288181532
326	0.1282587319
327	0.1277512738
328	0.1270628505
329	0.1263200276
330	0.1258590678
331	0.1250929723
332	0.1246164322
333	0.1239733076
334	0.123232815
335	0.1228185194
336	0.1221966188
337	0.12187887
338	0.1216040541
339	0.1211715793
340	0.1207544928
341	0.1202544065
342	0.1198805987
343	0.1191146569
344	0.1187372107
345	0.1183525903
346	0.117900147
347	0.1174299234
