iter	Passed	Remaining
0	1	542
1	1	440
2	2	380
3	2	366
4	3	357
5	4	351
6	4	347
7	5	344
8	6	342
9	6	336
10	7	331
11	8	328
12	8	325
13	9	322
14	9	320
15	10	318
16	11	318
17	11	317
18	12	321
19	13	321
20	14	319
21	14	318
22	15	317
23	15	315
24	16	313
25	17	313
26	17	312
27	18	310
28	19	309
29	19	308
30	20	306
31	20	305
32	21	304
33	22	303
34	22	302
35	23	301
36	24	300
37	24	299
38	25	298
39	25	297
40	26	297
41	27	296
42	27	295
43	28	294
44	29	293
45	29	292
46	30	292
47	30	291
48	31	290
49	32	289
50	32	288
51	33	287
52	34	286
53	34	286
54	35	285
55	35	284
56	36	283
57	37	282
58	37	281
59	38	280
60	38	280
61	39	279
62	40	278
63	40	278
64	41	277
65	42	277
66	42	276
67	43	276
68	43	273
69	44	273
70	45	272
71	45	271
72	46	270
73	46	270
74	47	269
75	48	268
76	48	268
77	49	267
78	50	266
79	50	266
80	51	265
81	51	264
82	52	263
83	53	263
84	53	262
85	54	261
86	55	262
87	55	261
88	56	260
89	57	260
90	57	259
91	58	259
92	59	258
93	59	258
94	60	257
95	61	256
96	61	256
97	62	256
98	63	256
99	64	256
100	64	255
101	65	255
102	66	255
103	66	254
104	67	254
105	68	253
106	69	253
107	69	253
108	70	252
109	70	251
110	71	250
111	72	250
112	72	249
113	73	249
114	74	248
115	75	248
116	75	247
117	76	246
118	76	246
119	77	245
120	78	244
121	78	244
122	79	243
123	80	243
124	80	242
125	81	241
126	82	241
127	82	240
128	83	240
129	84	239
130	84	238
131	85	237
132	86	237
133	86	236
134	87	236
135	88	235
136	88	234
137	89	234
138	89	233
139	90	232
140	91	232
141	91	231
142	92	230
143	93	230
144	93	229
145	94	228
146	94	228
147	95	227
148	96	226
149	96	225
150	97	225
151	98	224
152	98	224
153	99	223
154	100	222
155	100	222
156	101	221
157	102	220
158	102	220
159	103	219
160	103	218
161	104	217
162	105	217
163	105	216
164	106	216
165	107	215
166	107	214
167	108	214
168	108	213
169	109	212
170	110	211
171	110	211
172	111	210
173	112	210
174	112	209
175	113	208
176	114	208
177	114	207
178	115	206
179	115	206
180	116	205
181	117	204
182	117	204
183	118	203
184	119	202
185	119	202
186	120	202
187	121	201
188	121	200
189	122	199
190	123	199
191	123	198
192	124	197
193	125	197
194	125	196
195	126	196
196	127	195
197	127	194
198	128	194
199	128	193
200	129	192
201	130	192
202	130	191
203	131	190
204	132	190
205	132	189
206	133	188
207	133	188
208	134	187
209	135	186
210	135	186
211	136	185
212	137	184
213	137	184
214	138	183
215	139	182
216	139	182
217	140	181
218	140	180
219	141	180
220	142	179
221	142	178
222	143	178
223	144	177
224	144	176
225	145	176
226	145	175
227	146	174
228	147	174
229	147	173
230	148	172
231	148	172
232	149	171
233	150	170
234	150	169
235	151	169
236	151	168
237	152	167
238	153	167
239	153	166
240	154	165
241	155	165
242	155	164
243	156	164
244	157	163
245	157	162
246	158	162
247	158	161
248	159	160
249	160	160
250	160	159
251	161	158
252	162	158
253	162	157
254	163	156
255	163	156
256	164	155
257	165	154
258	165	154
259	166	153
260	166	152
261	167	152
262	168	151
263	169	151
264	169	150
265	170	149
266	171	149
267	171	148
268	172	147
269	172	147
270	173	146
271	174	146
272	174	145
273	175	144
274	176	144
275	176	143
276	177	142
277	177	142
278	178	141
279	179	140
280	179	140
281	180	139
282	181	138
283	181	138
284	182	137
285	183	137
286	183	136
287	184	135
288	185	135
289	185	134
290	186	133
291	187	133
292	187	132
293	188	132
294	189	131
295	189	130
296	190	130
297	190	129
298	191	128
299	192	128
300	192	127
301	193	126
302	194	126
303	194	125
304	195	124
305	195	124
306	196	123
307	197	122
308	198	122
309	199	121
310	199	121
311	200	120
312	200	120
313	201	119
314	202	118
315	202	118
316	203	117
317	204	116
318	204	116
319	205	115
320	206	114
321	206	114
322	207	113
323	207	112
324	208	112
325	209	111
326	209	110
327	210	110
328	210	109
329	211	109
330	212	108
331	212	107
332	213	107
333	214	106
334	214	105
335	215	105
336	216	104
337	216	103
338	217	103
339	217	102
340	218	101
341	219	101
342	219	100
343	220	99
344	221	99
345	221	98
346	222	98
347	222	97
348	223	96
349	224	96
350	224	95
351	225	94
352	226	94
353	227	93
354	227	93
355	228	92
356	229	91
357	229	91
358	230	90
359	231	90
360	232	89
361	232	88
362	233	88
363	234	87
364	234	86
365	235	86
366	236	85
367	236	84
368	237	84
369	238	83
370	238	83
371	239	82
372	239	81
373	240	81
374	241	80
375	242	79
376	242	79
377	243	78
378	244	77
379	244	77
380	245	76
381	245	75
382	246	75
383	247	74
384	247	74
385	248	73
386	249	72
387	249	72
388	250	71
